factor_a,factor_b,mean_correlation,median_correlation,min_correlation,max_correlation,periods
ann_return,ir,0.9715929331576642,0.9723889555822328,0.952845138055222,0.9891304347826088,44
sharpe,ir,0.922178492454925,0.9415606242496999,0.6975750300120047,0.9860744297719087,44
ann_return,sharpe,0.9214249263136387,0.9515486194477791,0.6409123649459784,0.9873229291716686,44
ann_vol,down_vol,0.9087110871175482,0.9134213685474191,0.844033613445378,0.9683073229291717,44
mdd,sharpe,0.3740824148177478,0.4528691476590636,-0.18924369747899158,0.6871068427370949,44
mdd,ir,0.31254906348209116,0.3872268907563025,-0.5478511404561824,0.9138535414165665,44
ann_return,mdd,0.2806333359358619,0.3793997599039616,-0.6115246098439375,0.876110444177671,44
ann_return,ann_vol,0.18268322621103847,0.03894357743097239,-0.5247058823529411,0.8208883553421368,44
ann_vol,ir,0.16179838023006696,0.06866746698679471,-0.5406482593037215,0.7724849939975991,44
ann_return,down_vol,0.15317938147706203,-0.029627851140456178,-0.48840336134453777,0.773829531812725,44
down_vol,ir,0.13433177063609902,0.009315726290516206,-0.5461224489795918,0.7340696278511404,44
ann_vol,sharpe,0.11439436740973406,0.05320528211284514,-0.2888355342136854,0.5989435774309724,44
down_vol,sharpe,0.09456368309665132,0.07515006002400959,-0.38247298919567824,0.6321728691476589,44
down_vol,mdd,-0.6647145905288362,-0.7096278511404561,-0.9119327731092437,-0.0028331332533013207,44
ann_vol,mdd,-0.704135007379455,-0.7331572629051619,-0.9478511404561825,-0.08657863145258103,44
